Year,Team,Games Played,Total Points,Total Wins,Total Losses,Total Draws,Goals,Goals Against,Accuracy (%),Penalty Kick Taken,Penalty Conceded,Fouls Committed,Fouls Suffered,Total Offside,Yellow Cards,Red Cards,Corners,Total Distance Covered,Average Distance Covered,Total Distance Covered Walking,Average Distance Covered Walking,Total Distance Covered Jogging,Average Distance Covered Jogging,Total Distance Covered Low Intensity Running,Average Distance Covered Low Intensity Running,Total Distance Covered High Intensity Running,Average Distance Covered High Intensity Running,Total Distance Covered Sprinting,Average Distance Covered Sprinting,Total Successful Final Third Pass,Total Sub Goals,Total Saves,Average Possession,Average Possession Time,Cross Complete Percentage,Tackles Won Percentage,Aerial Duels Won Percentage,Duels Won Percentage,Defender Goals,Midfielder Goals,Forward Goals,Aerial Duels,Possession Percentage,Aerial Duels Lost,Aerial Duels Won,Attempts From Set Pieces,Blocked Shots,Blocks,Catches,Clean Sheets,Clearances Off The Line,Corners Taken (Incl Short Corners),Corners Won,Crossing Accuracy,Drops,Duels,Duels Lost,Duels Won,Foul Attempted Tackle,Foul Won Penalty,Gk Successful Distribution,Gk Unsuccessful Distribution,Goal Assists,Goal Conversion,Goal Kicks,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals From Inside Box,Goals From Outside Box,Ground Duels,Ground Duels Lost,Ground Duels Won,Handballs Conceded,Headed Goals,Hit Woodwork,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Left Foot Goals,Number Of Defensive Actions,Number Of Opposition Passes,Offsides,Open Play Passes,Overruns,Own Goals Accrued,Own Goals Conceded,Ppda,Passing % Opp Half,Passing Accuracy,Penalties Conceded,Penalties Off Target,Penalties Saved,Penalties Taken,Penalty Goals,Penalty Goals Conceded,Points Dropped From Winning Positions,Points Gained From Losing Positions,Putthrough/Blocked Distribution,Putthrough/Blocked Distribution Won,Recoveries,Red Card - 2Nd Yellow,Right Foot Goals,Shooting Accuracy,Shots Off Target (Inc Woodwork),Shots On Conceded Inside Box,Shots On Conceded Outside Box,Shots On Target ( Inc Goals ),Successful Corners Into Box,Successful Crosses & Corners,Successful Crosses Open Play,Successful Dribbles,Successful Launches,Successful Lay-Offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackle Success,Tackles Lost,Tackles Won,Throw Ins To Opposition Player,Throw Ins To Own Player,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Red Cards,Total Shots,Total Shots Conceded,Total Successful Passes ( Excl Crosses & Corners ),Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Corners Into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses Open Play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Unsuccessful Lay-Offs,Home Goals,Away Goals,Set Pieces Goals,Straight Red Cards,Other Goals,Last Man Tackle
2021,Atlético Ottawa,28,26,6,14,8,30,47,82,4,11,354,333,46,60,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,536,45.0,293,243,13,72,82,22,3,2.0,100,100,24.22,2.0,2833,1444,1389,181,4.0,316,107,18,14.63,,47,46,1,,24,6,2297,1151,1146,29,4,4,285,178,,10,,,46,10402,,,,,71.19,81.27,12.0,,1.0,4.0,4.0,11.0,14.0,7,408,200,1583,3.0,16,50.24,102,109,39,103,29,85,47,273,91,62,824,8544,3523,5646,8260,57.27,235,315,79,466,484,494,354,333,3453,11178,5.0,205,381,9084,2094,58,266,185,195,294,859,1657,703,1235,9,16,14,,2.0,,
2021,Cavalry,29,50,14,6,8,35,32,80,3,4,382,375,65,70,1,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,827,53.0,441,386,16,79,79,13,10,1.0,167,167,26.74,3.0,3233,1604,1629,211,3.0,263,79,23,13.67,,32,29,3,,32,3,2406,1163,1243,24,7,6,316,232,,6,,,65,12021,,1.0,1.0,,68.63,79.59,4.0,,,3.0,,4.0,8.0,8,441,217,1844,1.0,20,48.44,132,71,25,124,60,146,69,296,98,71,835,9603,4391,5895,9305,61.21,225,355,103,612,507,395,382,375,4285,12741,1.0,256,295,10140,2601,79,400,287,251,368,1004,2340,661,1597,16,16,19,2.0,,1.0,
2021,Edmonton,28,28,6,12,10,34,41,78,4,4,368,302,43,41,1,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,729,45.0,337,392,16,76,76,15,5,1.0,124,124,25.99,2.0,2919,1448,1471,180,4.0,311,102,25,12.93,,41,35,6,,31,3,2190,1111,1079,27,5,10,307,227,,14,,,43,9865,,,,,70.1,77.52,4.0,1.0,,4.0,3.0,4.0,15.0,3,407,186,1692,,14,47.91,137,98,33,126,42,138,82,245,111,84,856,7702,4166,4116,7288,61.8,204,330,98,529,476,438,368,302,3909,10506,1.0,263,327,8144,2362,70,393,291,244,362,907,2111,644,1455,12,20,14,,1.0,1.0,
2021,Forge,30,50,16,10,2,42,26,84,7,1,394,421,69,70,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,560,55.0,277,283,24,99,69,20,11,,172,172,21.51,3.0,3132,1603,1529,210,7.0,357,34,25,15.73,,26,22,4,,39,3,2572,1326,1246,18,3,11,292,235,,15,,,69,13100,,1.0,,,77.29,83.2,2.0,,,7.0,6.0,1.0,,4,426,175,1850,1.0,22,45.69,145,57,35,122,29,97,65,319,50,53,834,10861,6094,5583,10746,60.74,201,311,93,595,642,299,394,421,4137,13918,1.0,267,271,11580,2338,71,354,262,300,199,711,2116,576,1627,10,26,16,1.0,,1.0,1.0
2021,HFX Wanderers,28,35,8,9,11,28,34,83,6,1,333,339,66,57,1,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,561,49.0,268,293,17,68,89,22,9,5.0,130,130,24.58,1.0,2820,1368,1452,183,6.0,302,79,17,11.48,,34,25,9,,26,2,2259,1100,1159,24,2,12,304,211,,8,,,66,11452,,2.0,,,74.32,82.3,2.0,,1.0,6.0,6.0,1.0,14.0,6,408,195,1739,,16,49.59,123,67,35,121,26,103,66,310,67,93,739,9475,4484,5600,9242,64.2,184,330,51,469,474,401,333,339,3609,12128,1.0,244,321,9981,2147,94,316,197,232,226,785,1830,633,1362,21,18,10,,1.0,,1.0
2021,Inter Toronto,29,36,8,8,12,36,42,81,3,3,384,383,57,72,2,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,573,46.0,297,276,18,103,93,9,6,2.0,145,145,27.18,2.0,3181,1638,1543,239,3.0,353,91,27,13.09,,42,38,4,,31,5,2608,1341,1267,19,7,12,269,259,,8,,,57,9879,,,4.0,,71.9,80.81,6.0,,2.0,3.0,1.0,3.0,18.0,18,401,206,1735,1.0,21,48.73,141,109,37,134,44,137,82,383,67,65,603,8016,3968,4803,8031,61.26,196,310,98,442,630,382,384,383,3806,10684,2.0,275,395,8634,2050,85,367,240,292,294,802,1864,553,1248,12,16,20,1.0,1.0,,
2021,Pacific,30,45,13,9,6,50,35,83,5,4,467,323,56,76,4,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,729,56.0,353,376,18,76,69,21,8,1.0,145,145,27.03,4.0,3205,1653,1552,257,5.0,281,65,34,18.25,,35,30,5,,42,8,2476,1300,1176,24,9,13,343,229,,15,,,56,13822,,2.0,1.0,,73.5,82.59,4.0,,,5.0,4.0,4.0,7.0,12,418,202,1879,1.0,24,45.26,150,81,31,124,47,130,69,308,106,79,1186,11461,5329,6758,10771,62.27,209,345,95,588,544,426,467,323,4184,14478,4.0,274,303,11957,2521,74,351,245,267,343,1006,2225,647,1515,9,33,17,,3.0,,1.0
2021,Valour,28,35,10,13,5,38,36,82,5,1,364,376,55,66,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,553,51.0,268,285,22,81,85,22,10,4.0,114,114,27.57,2.0,2897,1353,1544,208,5.0,364,79,28,15.38,,36,32,4,,32,6,2344,1085,1259,18,4,6,293,206,,7,,,55,11286,,,,,71.76,81.73,3.0,,2.0,5.0,5.0,1.0,11.0,5,332,143,1695,,26,46.56,132,94,54,115,32,94,53,367,76,64,829,9254,3910,6002,8989,59.5,211,310,97,456,517,395,364,376,3644,12012,1.0,247,392,9818,2194,63,247,155,268,269,807,1749,692,1387,4,20,18,,1.0,1.0,2.0
2022,Atlético Ottawa,31,49,13,5,10,39,32,80,6,6,377,375,51,73,2,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,671,43.0,351,320,19,89,101,28,11,3.0,127,127,26.11,5.0,2988,1486,1502,199,6.0,355,100,25,16.88,,32,26,6,,30,9,2317,1135,1182,21,1,5,282,205,,10,,,51,10265,,1.0,,,69.6,79.69,6.0,,,6.0,6.0,6.0,8.0,3,429,205,1719,1.0,27,46.75,123,68,48,108,37,106,60,235,96,53,768,8221,3882,5070,8078,56.77,249,327,163,436,527,586,377,375,3811,11100,2.0,231,378,8846,2254,49,300,228,277,302,930,1949,605,1324,11,15,24,3.0,1.0,,2.0
2022,Cavalry,30,47,14,9,5,41,36,82,3,3,402,359,65,79,4,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,691,54.0,331,360,24,74,69,19,10,1.0,175,175,26.24,1.0,2804,1424,1380,202,3.0,349,51,25,14.34,,36,29,7,,33,8,2113,1093,1020,20,5,10,274,230,,15,,,65,11942,,3.0,1.0,,71.33,81.56,3.0,,,3.0,2.0,3.0,11.0,3,404,185,1672,2.0,15,46.85,152,74,32,134,57,154,76,189,90,96,926,9751,4460,6010,9390,60.04,189,284,146,559,501,385,402,359,3944,12648,4.0,286,321,10316,2332,93,433,297,232,301,950,2164,601,1382,16,22,19,3.0,2.0,3.0,
2022,Edmonton,28,20,4,16,8,31,51,76,5,8,320,334,49,52,3,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,564,41.0,321,243,32,57,72,18,4,2.0,114,114,24.75,7.0,2727,1394,1333,165,5.0,289,129,19,14.49,,51,46,5,,24,7,2163,1073,1090,13,4,6,322,163,,6,,,49,8505,,1.0,5.0,,66.24,75.33,9.0,,1.0,5.0,4.0,8.0,16.0,7,392,224,1636,2.0,19,45.33,117,107,28,97,30,99,62,222,104,55,834,6491,3332,3727,6126,59.14,219,317,118,514,539,422,320,334,3802,9239,3.0,214,327,6960,2279,75,301,202,259,303,1000,1949,631,1279,13,20,11,3.0,1.0,1.0,2.0
2022,Forge,31,47,14,9,5,52,27,85,5,0,352,434,67,63,2,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,514,58.0,266,248,15,86,53,24,11,1.0,181,181,18.67,2.0,2922,1467,1455,183,5.0,398,6,34,21.31,,27,24,3,,46,6,2408,1201,1207,14,9,12,235,203,,17,,,67,14366,,3.0,2.0,,78.66,84.36,,,,5.0,4.0,,6.0,11,488,180,1819,,23,47.54,128,73,27,116,32,98,62,279,46,86,698,12044,6587,6326,12117,60.64,196,302,95,678,682,343,352,434,4214,15191,2.0,244,273,12815,2376,84,427,318,355,200,650,2187,616,1726,8,26,26,,2.0,,2.0
2022,HFX Wanderers,28,29,8,15,5,24,38,81,10,3,355,325,57,56,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,628,51.0,293,335,9,61,75,12,9,2.0,110,110,23.44,1.0,2774,1333,1441,177,10.0,343,64,8,10.17,,38,32,6,,22,2,2146,1040,1106,23,2,11,290,212,,12,,,57,11376,,1.0,,,72.36,80.37,3.0,,,10.0,10.0,3.0,2.0,8,430,188,1703,1.0,9,41.95,137,69,32,99,36,98,47,238,75,81,765,9148,4361,5422,8920,59.45,221,324,74,567,518,444,355,325,3876,12050,3.0,236,299,9685,2365,54,320,227,236,251,827,1948,737,1538,11,13,11,1.0,2.0,,
2022,Inter Toronto,28,34,9,12,7,31,37,81,3,7,378,351,60,64,5,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,564,48.0,273,291,12,75,75,26,7,2.0,122,122,25.29,3.0,2915,1467,1448,191,3.0,325,81,23,12.3,,37,34,3,,27,4,2351,1194,1157,18,6,9,269,218,,6,,,60,10322,,,1.0,,71.43,80.54,8.0,,1.0,3.0,2.0,7.0,5.0,11,380,184,1708,2.0,19,43.25,143,72,46,109,44,130,76,261,77,43,811,8344,4083,4918,8060,60.25,219,332,114,495,559,412,378,351,3754,11014,5.0,252,304,8871,2143,67,384,281,287,232,827,1965,562,1316,11,17,14,,3.0,,
2022,Pacific,30,46,13,8,7,37,36,82,4,4,429,331,40,67,2,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,679,53.0,319,360,22,80,77,25,9,4.0,111,111,21.11,6.0,2989,1486,1503,230,4.0,294,79,23,16.82,,36,28,8,,32,5,2310,1167,1143,16,10,4,322,196,,9,,,40,12965,,2.0,1.0,,71.43,81.79,4.0,,,4.0,3.0,4.0,5.0,10,431,220,1744,,16,52.27,105,86,32,115,27,99,61,221,80,83,860,10659,4681,6585,10307,63.41,217,376,117,518,493,504,429,331,4006,13654,2.0,220,326,11167,2487,71,370,267,221,394,1005,2203,654,1482,9,22,15,1.0,2.0,,
2022,Valour,28,37,10,11,7,36,34,80,4,4,368,323,40,70,7,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,655,52.0,329,326,10,80,75,16,9,2.0,132,132,22.81,2.0,2850,1429,1421,198,4.0,263,99,22,14.46,,34,27,7,,32,4,2195,1100,1095,11,7,3,300,207,,9,,,40,11050,,1.0,2.0,,70.65,79.85,7.0,,3.0,4.0,4.0,4.0,22.0,1,404,184,1695,5.0,19,45.78,135,73,37,114,49,107,48,232,78,87,905,8883,4281,5176,8445,61.21,211,333,124,589,502,472,368,323,3887,11709,7.0,249,306,9350,2359,68,362,254,252,328,949,2096,625,1410,16,15,21,,2.0,,3.0
2023,Atlético Ottawa,28,36,10,12,6,38,34,79,4,0,366,271,41,61,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,567,44.0,263,304,14,68,55,21,9,2.0,100,100,19.21,2.0,2842,1433,1409,186,4.0,321,82,23,16.31,264.0,34,29,5,,32,6,2275,1170,1105,18,2,8,238,190,,13,,,41,9603,39.0,,3.0,,70.48,78.99,1.0,,1.0,4.0,3.0,,11.0,5,453,221,1610,,23,53.65,108,70,31,125,18,83,62,285,67,40,769,7600,3720,4464,7332,61.4,215,342,148,432,494,514,366,271,3634,10256,1.0,233,284,8101,2155,57,349,259,247,321,907,1872,632,1248,6,16,22,4.0,1.0,,1.0
