Year,Team,Games Played,Total Points,Total Wins,Total Losses,Total Draws,Goals,Goals Against,Accuracy (%),Penalty Kick Taken,Penalty Conceded,Fouls Committed,Fouls Suffered,Total Offside,Yellow Cards,Red Cards,Corners,Total Distance Covered,Average Distance Covered,Total Distance Covered Walking,Average Distance Covered Walking,Total Distance Covered Jogging,Average Distance Covered Jogging,Total Distance Covered Low Intensity Running,Average Distance Covered Low Intensity Running,Total Distance Covered High Intensity Running,Average Distance Covered High Intensity Running,Total Distance Covered Sprinting,Average Distance Covered Sprinting,Total Successful Final Third Pass,Total Sub Goals,Total Saves,Average Possession,Average Possession Time,Cross Complete Percentage,Tackles Won Percentage,Aerial Duels Won Percentage,Duels Won Percentage,Defender Goals,Midfielder Goals,Forward Goals,Aerial Duels,Possession Percentage,Aerial Duels Lost,Aerial Duels Won,Attempts From Set Pieces,Blocked Shots,Blocks,Catches,Clean Sheets,Clearances Off The Line,Corners Taken (Incl Short Corners),Corners Won,Crossing Accuracy,Drops,Duels,Duels Lost,Duels Won,Foul Attempted Tackle,Foul Won Penalty,Gk Successful Distribution,Gk Unsuccessful Distribution,Goal Assists,Goal Conversion,Goal Kicks,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals From Inside Box,Goals From Outside Box,Ground Duels,Ground Duels Lost,Ground Duels Won,Handballs Conceded,Headed Goals,Hit Woodwork,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Left Foot Goals,Number Of Defensive Actions,Number Of Opposition Passes,Offsides,Open Play Passes,Overruns,Own Goals Accrued,Own Goals Conceded,Ppda,Passing % Opp Half,Passing Accuracy,Penalties Conceded,Penalties Off Target,Penalties Saved,Penalties Taken,Penalty Goals,Penalty Goals Conceded,Points Dropped From Winning Positions,Points Gained From Losing Positions,Putthrough/Blocked Distribution,Putthrough/Blocked Distribution Won,Recoveries,Red Card - 2Nd Yellow,Right Foot Goals,Shooting Accuracy,Shots Off Target (Inc Woodwork),Shots On Conceded Inside Box,Shots On Conceded Outside Box,Shots On Target ( Inc Goals ),Successful Corners Into Box,Successful Crosses & Corners,Successful Crosses Open Play,Successful Dribbles,Successful Launches,Successful Lay-Offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackle Success,Tackles Lost,Tackles Won,Throw Ins To Opposition Player,Throw Ins To Own Player,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Red Cards,Total Shots,Total Shots Conceded,Total Successful Passes ( Excl Crosses & Corners ),Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Corners Into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses Open Play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Unsuccessful Lay-Offs,Home Goals,Away Goals,Set Pieces Goals,Straight Red Cards,Other Goals,Last Man Tackle
2023,Cavalry,31,55,16,5,7,50,32,84,6,4,411,420,54,73,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,686,54.0,339,347,20,94,100,31,8,,162,162,28.24,2.0,3087,1554,1533,207,6.0,338,62,32,17.79,270.0,32,28,4,,45,5,2401,1215,1186,21,8,10,248,241,,15,,,54,12991,52.0,3.0,,,74.87,83.74,5.0,,,6.0,6.0,4.0,15.0,7,463,225,1722,,24,40.57,167,66,39,114,51,157,94,262,68,101,803,10892,5019,6668,10727,67.13,167,341,105,597,566,415,411,420,3872,13769,1.0,281,356,11530,2239,83,399,268,303,246,879,2031,607,1360,14,28,22,1.0,1.0,,2.0
2023,Forge,30,42,11,8,9,43,34,84,3,4,354,365,56,65,1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,580,53.0,278,302,19,101,84,22,10,2.0,175,175,26.53,5.0,2866,1454,1412,172,3.0,382,19,29,13.61,243.0,34,28,6,,35,8,2286,1176,1110,14,9,13,223,279,,15,,,56,13153,51.0,1.0,1.0,,78.26,83.73,5.0,,,3.0,2.0,4.0,4.0,17,467,193,1719,,16,45.25,173,65,34,143,35,143,107,291,32,116,796,10968,5696,6114,10871,60.65,181,279,94,596,561,448,354,365,3941,13934,1.0,316,333,11667,2267,80,396,295,299,176,655,1939,724,1612,14,23,20,2.0,1.0,2.0,
2023,HFX Wanderers,29,42,11,8,9,39,33,84,5,3,372,390,48,79,1,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,631,52.0,321,310,6,84,86,21,7,2.0,113,113,29.5,2.0,2967,1486,1481,208,5.0,363,47,31,16.05,261.0,33,24,9,,32,7,2336,1165,1171,9,6,7,266,229,,8,,,48,12856,51.0,,3.0,,76.75,83.8,3.0,,,5.0,5.0,3.0,18.0,6,489,245,1697,,25,46.09,131,80,28,112,32,123,82,256,47,114,872,10755,5087,6452,10544,63.5,192,334,81,503,513,499,372,390,3680,13623,1.0,243,342,11416,2207,42,294,231,227,167,723,1798,703,1484,9,25,14,,1.0,,
2023,Inter Toronto,29,38,11,12,5,35,45,83,2,1,364,363,46,69,6,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,531,51.0,270,261,18,79,79,20,5,2.0,141,141,22.65,2.0,2985,1474,1511,182,2.0,329,63,23,13.89,251.0,45,37,8,,28,7,2454,1204,1250,15,6,9,240,218,,2,,,46,11830,49.0,3.0,1.0,,75.15,82.87,2.0,,1.0,2.0,1.0,1.0,8.0,10,444,197,1721,2.0,24,44.44,140,92,55,112,39,118,74,356,60,67,766,9829,4627,5914,9657,61.15,209,329,82,489,570,465,364,363,3760,12577,6.0,252,374,10423,2154,74,403,290,274,191,758,1894,663,1396,11,11,24,1.0,4.0,,1.0
2023,Pacific,31,40,11,10,7,45,37,83,4,3,382,384,36,64,2,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,735,50.0,339,396,22,116,82,22,8,6.0,173,173,24.36,3.0,3257,1542,1715,210,4.0,270,77,36,15.36,222.0,37,33,4,,40,5,2522,1203,1319,14,8,14,284,257,,17,,,36,12624,60.0,1.0,1.0,,74.22,82.18,4.0,1.0,1.0,4.0,2.0,3.0,14.0,3,459,212,1820,2.0,19,47.44,154,87,25,139,45,143,80,372,71,113,824,10407,5122,5986,10141,64.96,199,369,154,535,553,516,382,384,4127,13342,2.0,293,314,10965,2377,99,444,305,303,248,840,2173,648,1537,14,17,28,,,,
2023,Valour,28,26,6,14,8,25,38,81,2,1,385,355,57,58,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,785,53.0,373,412,13,65,68,24,7,3.0,129,129,25.56,,3125,1545,1580,191,2.0,269,90,16,10.87,219.0,38,34,4,,22,3,2340,1172,1168,19,4,10,262,203,,6,,,57,11892,38.0,1.0,,,73.16,80.85,1.0,,,2.0,2.0,1.0,11.0,7,463,211,1753,,14,40.0,138,98,31,92,37,136,87,298,80,92,819,9644,5054,5251,9350,64.3,186,335,102,484,535,442,385,355,3967,12577,,230,322,10169,2408,83,396,279,291,282,892,2200,604,1516,13,13,12,,,,2.0
2023,Vancouver FC,28,29,8,15,5,28,50,77,2,7,343,302,28,59,3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,641,43.0,393,248,23,66,113,33,5,2.0,105,105,21.19,,2905,1530,1375,173,2.0,242,149,18,13.02,264.0,50,45,5,,24,4,2264,1137,1127,10,1,4,237,170,1.0,7,,,28,9392,41.0,1.0,1.0,,66.67,76.94,7.0,,,2.0,2.0,7.0,6.0,8,423,203,1675,,19,43.26,122,112,29,93,30,75,42,250,54,66,695,7367,3478,4409,7117,62.93,215,365,150,425,470,553,343,302,3743,10153,3.0,215,412,7812,2341,63,279,178,217,281,1011,1980,640,1330,12,18,10,,3.0,,
2024,Atlético Ottawa,30,44,11,6,11,44,34,83,5,1,375,308,48,76,1,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.44,66.91,55.1,50.12,0,0,0,686,49.0,308,378,16,103,73,17,9,2.0,152,152,24.44,4.0,2913,1453,1460,177,5.0,312,49,28,15.44,220.0,34,29,5,,38,6,2227,1145,1082,20,11,15,283,238,2.0,15,,,48,12502,38.0,1.0,2.0,,73.42,82.99,1.0,1.0,,5.0,3.0,1.0,17.0,10,477,256,1460,,17,48.07,148,74,38,137,31,121,81,234,120,87,874,10415,4730,6294,10029,66.91,182,368,154,450,539,504,375,308,3814,13138,1.0,285,295,10903,2235,104,374,239,296,464,924,2043,566,1311,11,23,21,,1.0,,
2024,Cavalry,30,48,12,4,12,42,28,84,6,3,371,352,38,55,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93,63.33,54.21,49.82,0,0,0,795,54.0,364,431,24,115,80,19,9,2.0,159,159,28.93,1.0,3091,1551,1540,185,6.0,295,70,26,13.12,245.0,28,23,5,,37,5,2296,1187,1109,17,8,16,259,305,,10,,,38,13040,41.0,3.0,1.0,,76.57,83.37,3.0,,,6.0,4.0,3.0,13.0,8,490,226,1494,,20,43.12,182,55,40,138,49,162,101,230,118,124,775,10898,5764,5867,10694,63.33,198,342,82,593,617,459,371,352,3945,13757,,320,311,11469,2288,71,398,300,271,427,862,2112,574,1426,8,22,20,,,1.0,
2024,Forge,31,50,15,8,5,47,34,86,3,3,365,358,59,75,3,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.32,60.11,51.26,49.09,0,0,0,515,53.0,251,264,19,90,86,25,11,4.0,171,171,19.32,4.0,2907,1480,1427,186,3.0,394,41,34,15.46,262.0,34,30,4,,41,6,2392,1229,1163,17,5,13,267,256,5.0,22,,,59,13605,43.0,2.0,,,79.9,85.16,5.0,1.0,2.0,3.0,1.0,3.0,7.0,9,459,197,1528,2.0,18,49.34,154,87,40,150,16,96,79,280,51,94,842,11567,6322,6065,11449,60.11,213,321,69,542,621,461,365,358,3784,14433,3.0,304,364,12291,2142,81,401,307,301,236,658,1967,576,1484,11,30,17,,1.0,,
2024,HFX Wanderers,28,30,7,12,9,37,43,84,9,3,320,443,46,63,8,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.02,66.92,55.91,54.49,0,0,0,626,51.0,276,350,21,90,82,14,4,3.0,132,132,28.02,2.0,2819,1283,1536,163,9.0,280,29,23,13.41,207.0,43,37,6,,36,1,2193,1007,1186,11,9,8,263,250,1.0,12,,,46,12110,35.0,,4.0,,77.58,83.59,4.0,,1.0,9.0,8.0,3.0,9.0,15,441,215,1438,4.0,16,46.38,148,90,27,128,39,116,64,228,94,131,753,10106,5340,5517,9988,66.92,173,350,56,470,499,475,320,443,3427,12850,8.0,276,307,10741,2109,57,298,209,219,334,706,1808,599,1403,13,23,14,,4.0,,
2024,Inter Toronto,30,39,11,11,6,39,38,84,0,3,387,397,41,92,3,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.42,61.73,45.52,49.5,0,0,0,670,52.0,365,305,15,64,87,24,7,3.0,152,152,20.42,3.0,2879,1454,1425,195,,342,63,31,19.31,245.0,38,33,5,,34,5,2209,1089,1120,10,7,10,239,165,1.0,5,,,41,13137,36.0,2.0,1.0,,75.62,83.62,4.0,,1.0,,,3.0,17.0,8,469,199,1427,2.0,24,43.07,115,88,31,87,25,107,81,215,118,122,905,10990,5044,6737,10769,61.73,199,321,98,509,497,520,387,397,3816,13961,3.0,202,360,11674,2287,65,417,323,249,445,908,2009,695,1379,15,24,15,1.0,1.0,1.0,
2024,Pacific,29,34,9,12,7,27,34,81,7,1,359,373,63,68,5,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.52,65.3,50.32,52.29,0,0,0,791,47.0,393,398,15,85,96,20,10,5.0,135,135,22.52,4.0,3079,1469,1610,195,7.0,295,68,12,11.2,249.0,34,28,6,,26,1,2288,1076,1212,18,5,5,293,230,,8,,,63,11147,52.0,2.0,1.0,,72.11,80.08,2.0,,,7.0,6.0,1.0,13.0,5,489,223,1411,3.0,12,46.06,130,76,40,111,37,109,67,236,137,138,692,8947,4426,5184,8809,65.3,212,399,150,459,527,610,359,373,3969,11864,5.0,241,351,9501,2363,75,375,265,251,469,863,2045,693,1500,23,16,11,,2.0,,
2024,Valour,28,28,7,14,7,31,42,80,2,7,420,334,28,80,2,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93,64.48,41.27,46.8,0,0,0,710,44.0,417,293,13,64,108,24,4,5.0,96,96,25.93,7.0,2889,1537,1352,203,2.0,288,106,21,15.42,266.0,42,39,3,,25,6,2179,1120,1059,17,6,7,271,160,2.0,4,,,28,9879,42.0,2.0,3.0,,69.35,79.48,9.0,,1.0,2.0,1.0,7.0,22.0,6,436,208,1370,1.0,19,50.25,100,97,32,101,30,112,71,228,130,111,753,7943,3551,4995,7681,64.48,179,325,67,430,515,606,420,334,3558,10611,2.0,201,377,8434,2177,53,320,237,239,487,1014,1840,657,1163,19,14,17,1.0,1.0,,
2024,Vancouver FC,28,30,7,12,9,29,43,80,2,4,408,297,37,70,3,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.94,61.45,47.17,47.89,0,0,0,795,48.0,420,375,12,79,77,18,5,1.0,134,134,22.94,2.0,2917,1520,1397,218,2.0,248,116,20,13.12,231.0,43,41,2,,23,6,2122,1100,1022,19,4,4,214,194,,9,,,37,10393,24.0,,,,69.59,79.16,6.0,,2.0,2.0,2.0,4.0,7.0,14,441,197,1399,2.0,16,39.82,133,101,36,88,32,125,76,219,120,94,800,8321,3931,4963,7969,61.45,197,314,125,451,478,528,408,297,3774,11077,3.0,221,368,8769,2308,78,420,306,258,442,943,2083,645,1365,23,14,15,,1.0,,
2025,Atlético Ottawa,30,56,15,2,11,58,30,89,6,2,370,336,26,51,2,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.08,66.79,48.46,50.07,0,0,0,487,59.4,251,236,12,88,87,18,11,3.0,122,122,25.08,3.0,2700,1348,1352,197,6.0,338,36,39,17.16,228.0,30,27,3,46.0,53,5,2213,1097,1116,16,3,10,264,278,3.0,26,193.0,2156.0,26,16031,53.0,1.0,1.0,11.2,80.01,88.14,3.0,1.0,1.0,6.0,4.0,2.0,8.0,17,429,195,1376,2.0,28,47.93,176,86,34,162,25,77,47,256,116,233,771,14157,5775,9081,14008,66.79,175,352,125,394,542,655,370,336,3422,16768,2.0,338,360,14779,1989,59,230,157,266,417,773,1654,565,1216,11,32,26,,,,
2025,Cavalry,31,42,11,8,9,53,39,84,7,3,421,414,50,75,4,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.43,68.78,59.44,51.2,0,0,0,678,52.2,275,403,20,120,94,13,8,4.0,157,157,31.43,6.0,2988,1458,1530,214,7.0,279,79,36,16.56,261.0,39,35,4,32.0,39,14,2310,1183,1127,20,5,9,241,303,5.0,16,246.0,2586.0,50,12436,31.0,1.0,1.0,10.5,76.34,83.75,3.0,,,7.0,5.0,3.0,10.0,3,456,218,1362,2.0,31,45.62,174,77,35,146,50,176,103,233,129,166,902,10468,5273,5950,10145,68.78,153,337,61,563,581,579,421,414,3718,13191,4.0,320,342,11047,2144,73,384,265,259,337,794,1964,564,1350,10,33,20,2.0,2.0,,
2025,Forge,30,58,16,2,10,52,25,86,7,2,348,370,92,56,1,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.96,60.46,50.82,51.03,0,0,0,425,50.8,209,216,8,81,77,11,13,3.0,138,138,23.96,1.0,2579,1263,1316,187,7.0,341,25,31,18.77,245.0,25,20,5,38.0,48,4,2154,1054,1100,13,8,16,255,243,1.0,10,217.0,2787.0,92,12773,42.0,2.0,,12.8,79.44,85.58,3.0,1.0,,7.0,5.0,2.0,9.0,7,426,197,1412,1.0,32,48.01,144,67,32,133,30,121,83,216,68,155,875,10895,5603,6065,10672,60.46,206,315,86,510,503,466,348,370,3476,13493,1.0,277,318,11547,1946,64,384,299,232,256,607,1803,527,1339,14,30,22,,,,
2025,HFX Wanderers,29,39,11,11,6,43,36,83,5,3,348,367,54,78,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.32,65.59,52.24,50.93,0,0,0,691,49.3,330,361,11,78,87,14,9,3.0,153,153,26.32,4.0,2967,1456,1511,175,5.0,298,54,30,15.09,227.0,36,32,4,27.0,38,5,2276,1126,1150,9,6,12,258,250,3.0,9,169.0,2537.0,54,11622,44.0,2.0,,15.0,76.55,82.4,4.0,,,5.0,5.0,3.0,11.0,6,465,219,1512,,26,43.16,162,75,30,123,54,154,80,229,93,168,740,9579,5397,4876,9379,65.59,192,366,97,475,566,672,348,367,3840,12280,,285,321,10119,2161,89,431,298,277,337,767,2037,555,1394,21,26,17,1.0,,,
2025,Inter Toronto,30,38,10,10,8,46,44,85,2,5,425,424,46,98,1,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,66.8,43.04,48.37,0,0,0,560,47.7,319,241,20,75,69,20,9,,112,112,23.66,1.0,2797,1444,1353,206,2.0,294,76,31,17.69,255.0,44,34,10,37.0,40,6,2237,1125,1112,13,4,12,280,213,4.0,9,238.0,2861.0,46,11892,39.0,,1.0,12.0,77.05,84.7,5.0,,,2.0,2.0,5.0,16.0,10,373,181,1361,1.0,33,50.38,129,87,37,131,26,115,82,202,105,151,775,10123,4871,6013,9994,66.8,163,328,87,504,516,608,425,424,3476,12715,1.0,260,338,10769,1946,57,371,272,255,365,824,1788,529,1122,21,28,18,1.0,,,
2025,Pacific,28,23,5,15,8,30,59,83,5,6,376,345,30,65,2,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.43,64.06,49.18,50.44,0,0,0,551,47.0,280,271,12,46,93,27,3,3.0,120,120,24.43,,2488,1233,1255,212,5.0,339,49,17,14.78,251.0,59,52,7,16.0,27,3,1937,953,984,9,3,5,220,162,5.0,5,159.0,1844.0,30,10719,26.0,1.0,1.0,11.6,73.13,82.61,6.0,,,5.0,5.0,6.0,12.0,15,422,191,1194,2.0,21,46.8,108,110,41,95,37,107,61,172,92,149,622,8861,3985,5610,8866,64.06,170,303,130,387,410,692,376,345,3352,11485,2.0,203,413,9488,1997,53,331,246,200,406,817,1756,572,1180,16,20,10,1.0,,,
2025,Valour,28,26,7,16,5,35,62,84,1,6,395,318,57,71,4,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.23,68.3,45.71,48.11,0,0,0,560,46.4,304,256,22,83,57,17,2,2.0,102,102,24.23,6.0,2538,1317,1221,219,1.0,250,66,28,14.46,201.0,62,57,5,24.0,28,7,1978,1013,965,9,7,7,236,191,4.0,9,194.0,2537.0,57,10591,31.0,,2.0,13.1,75.62,83.43,8.0,,2.0,1.0,,6.0,15.0,13,402,194,1292,2.0,18,46.69,129,111,31,113,30,110,68,182,105,119,720,8872,4416,5069,8655,68.3,149,321,87,420,436,576,395,318,3250,11237,4.0,242,323,9375,1862,67,344,253,194,294,718,1732,474,1144,12,16,19,,2.0,1.0,
2025,Vancouver FC,28,21,4,15,9,35,57,81,3,2,331,326,33,71,4,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,66.53,48.93,49.65,0,0,0,605,45.9,309,296,15,88,83,24,2,1.0,127,127,24.88,4.0,2552,1285,1267,173,3.0,251,97,23,16.51,218.0,57,46,11,22.0,30,5,1947,976,971,12,4,8,264,175,1.0,16,189.0,2604.0,33,9947,31.0,1.0,2.0,13.8,69.58,80.32,4.0,,2.0,3.0,3.0,2.0,22.0,3,403,199,1375,,13,44.81,117,113,40,95,36,104,55,165,96,140,691,8064,3862,4810,7877,66.53,163,324,117,391,465,667,331,326,3522,10667,4.0,212,381,8568,2099,76,314,208,224,354,896,1957,456,1203,17,16,19,1.0,4.0,1.0,
